id,component_id,name,unit,min_value,max_value,current_value,set_value,created_at,updated_at,show_in_graph,is_writable,modbus_address,modbus_type,data_type,show_in_ui,component_name
08c938fc-63e0-4f71-b8a7-8af3ca8524b3,a6ce50d1-41a4-4130-b91c-8cf0ce577d5a,autotune_on,boolean,0,1,0,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:32.68056+00,false,true,,,,false,precursor 2
108b3663-ac43-4d4b-af14-41f13a7b500f,a6ce50d1-41a4-4130-b91c-8cf0ce577d5a,temperature_set,°C,0,250,0,250,2025-04-21 15:24:16.041814+00,2025-04-30 20:07:28.322506+00,false,true,,,,true,precursor 2
12db5c62-1791-4b52-85e7-491965dc02e9,9b5812c5-e619-4b24-b7ca-ac9d7119428d,scale_max,sccm,0,200,200,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:41.489921+00,false,true,,,,false,MFC 1
15a77e1b-b0ec-404d-ad87-45dbd1fd5fd2,73517548-14c3-4607-8acb-155bfa92eb1a,temperature_set,°C,0,250,0,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:42.89719+00,false,true,,,,true,Precursor 1
15cfe7b4-a17b-4b46-a532-ab8b8aaaddfc,e2f96a0b-9081-4350-8e0d-c7e0c1ab7ef5,autotune_on,boolean,0,1,0,0.5,2025-04-21 15:24:16.041814+00,2025-04-23 16:38:42.654318+00,false,true,,,,false,Backend Heater
19a3bd3a-a55e-4fe1-bc8a-858943e4707a,12060510-4656-4d66-858b-32dc3a12132f,temp_max_limit,°C,0,250,250,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:33.68099+00,false,true,,,,false,Precursor 3
1f2b1f8f-a756-4abb-bd0f-0bf05b9888b3,1e26eeff-9db1-4da5-bf33-fd16f81816f9,scale_min,%,0,100,0,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:41.770839+00,false,true,,,,false,Nitrogen Generator
20c3f03f-087f-4bd6-bfb9-ab75fc540308,0981d5ef-e608-45f2-ab4d-4d7d19a3c272,autotune_on,boolean,0,1,0,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:33.92069+00,false,true,,,,false,Precursor 4
228b9d22-4edd-4c95-9b1e-a22a9c9da7f9,3392d426-5c17-4106-8877-c6d1e1ffbfc7,pid_period,ms,10,5000,10,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:35.446216+00,false,true,,,,false,Precursor 6
24d47ccc-fb82-4d82-a1ef-69b97221ebba,de2a8d6b-0668-4479-b2a6-65efb8d3c6d4,temp_max_limit,°C,0,1000,1000,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:39.477726+00,false,true,,,,false,Champer Heater
253386d3-9680-4778-bdaf-3a0488d7ea6c,8b26848e-74d2-4af9-9c76-7f5481cd4d61,pid_output,%,0,100,0,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:34.960611+00,false,false,,,,false,precursor 5
25c61abd-bf60-49c9-868d-f6124af31be8,12060510-4656-4d66-858b-32dc3a12132f,temp_min_limit,°C,0,200,0,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:33.632924+00,false,true,,,,false,Precursor 3
265d5d44-fd43-4274-a0f1-d49026f863af,73517548-14c3-4607-8acb-155bfa92eb1a,pid_period,ms,10,5000,10,,2025-04-21 15:24:16.041814+00,2025-04-22 11:30:32.347504+00,false,true,,,,false,Precursor 1
